dtypes,name,description
object,id,A unique LC assigned ID for the loan listing.
float64,loan_amnt,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value."
float64,funded_amnt,The total amount committed to that loan at that point in time.
object,term,The number of payments on the loan. Values are in months and can be either 36 or 60.
object,int_rate,Interest Rate on the loan
float64,installment,The monthly payment owed by the borrower if the loan originates.
object,grade,LC assigned loan grade
object,emp_title,The job title supplied by the Borrower when applying for the loan.*
object,emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. 
object,home_ownership,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER"
float64,annual_inc,The self-reported annual income provided by the borrower during registration.
object,verification_status,"Indicates if income was verified by LC, not verified, or if the income source was verified"
object,loan_status,Current status of the loan
object,desc,Loan description provided by the borrower
object,purpose,A category provided by the borrower for the loan request. 
object,title,The loan title provided by the borrower
float64,dti,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income."
float64,delinq_2yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years
float64,fico_range_low,The lower boundary range the borrower’s FICO at loan origination belongs to.
float64,fico_range_high,The upper boundary range the borrower’s FICO at loan origination belongs to.
float64,inq_last_6mths,The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
float64,open_acc,The number of open credit lines in the borrower's credit file.
float64,pub_rec,Number of derogatory public records
float64,revol_bal,Total credit revolving balance
object,revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
float64,total_acc,The total number of credit lines currently in the borrower's credit file
object,last_credit_pull_d,The most recent month LC pulled credit for this loan
float64,acc_now_delinq,The number of accounts on which the borrower is now delinquent.
float64,delinq_amnt,Total revolving high credit/credit limit
float64,tax_liens,Number of tax liens
