	acousticness	danceability	instrumentalness	valence	energy	target
0	0.0102	0.833	0.0219	0.286	0.434	1
1	0.199	0.743	0.00611	0.588	0.359	1
2	0.0344	0.838	0.000234	0.173	0.412	1
3	0.604	0.494	0.51	0.23	0.338	1
4	0.18	0.678	0.512	0.904	0.561	1
5	0.00479	0.804	0.0	0.264	0.56	1
6	0.0145	0.739	7.27e-06	0.308	0.472	1
7	0.0202	0.266	0.664	0.393	0.348	1
8	0.0481	0.603	0.0	0.398	0.944	1
9	0.00208	0.836	0.0	0.386	0.603	1
10	0.0572	0.525	0.0143	0.524	0.855	1
11	0.0915	0.753	0.00348	0.642	0.748	1
12	0.253	0.603	0.0619	0.381	0.434	1
13	0.366	0.762	0.0	0.367	0.476	1
14	0.44	0.662	0.0	0.351	0.603	1
15	0.019	0.637	0.0563	0.317	0.832	1
16	0.0239	0.603	0.0451	0.773	0.955	1
17	0.233	0.789	0.00049	0.842	0.659	1
18	0.314	0.713	0.0	0.783	0.611	1
19	0.0242	0.735	0.185	0.763	0.759	1
20	0.000702	0.854	0.308	0.471	0.719	1
21	0.00024	0.747	0.369	0.77	0.74	1
22	0.118	0.854	0.0	0.441	0.401	1
23	0.000596	0.224	1.35e-06	0.364	0.925	1
24	0.279	0.512	1.54e-05	0.401	0.564	1
25	0.00219	0.781	0.269	0.795	0.795	1
26	0.341	0.411	1.42e-06	0.598	0.684	1
27	0.018	0.646	0.0403	0.32	0.837	1
28	0.0516	0.782	0.0	0.237	0.572	1
29	0.282	0.735	0.125	0.326	0.4	1
30	0.00791	0.45	0.0	0.137	0.449	1
31	0.0219	0.897	1.31e-06	0.27	0.642	1
32	0.0358	0.959	0.0	0.424	0.598	1
33	0.0324	0.742	0.0	0.429	0.559	1
34	0.118	0.805	0.0	0.683	0.687	1
35	0.0428	0.667	0.0	0.372	0.581	1
36	0.297	0.722	0.0	0.855	0.823	1
37	0.0565	0.853	0.0	0.677	0.547	1
38	0.0128	0.747	0.0	0.571	0.705	1
39	0.135	0.777	5.5e-05	0.848	0.591	1
40	0.00041	0.731	0.625	0.622	0.852	1
41	0.00356	0.76	0.0	0.069	0.402	1
42	0.00156	0.624	1.54e-06	0.318	0.792	1
43	0.00243	0.621	0.00856	0.0891	0.683	1
44	0.533	0.64	0.0	0.624	0.819	1
45	0.00631	0.715	0.0	0.607	0.833	1
46	0.00182	0.7	0.711	0.947	0.756	1
47	0.0923	0.789	0.000408	0.832	0.494	1
48	0.375	0.796	0.00457	0.973	0.86	1
49	0.183	0.716	0.058	0.93	0.957	1
50	0.0185	0.74	0.0624	0.852	0.846	1
51	0.0638	0.7	0.112	0.745	0.84	1
52	0.456	0.514	0.000181	0.532	0.453	1
53	0.128	0.313	0.0787	0.186	0.77	1
54	0.246	0.676	0.0	0.301	0.528	1
55	0.12	0.532	0.0	0.486	0.596	1
56	0.00426	0.646	0.277	0.176	0.629	1
57	0.193	0.598	0.138	0.0359	0.252	1
58	0.0174	0.754	9.4e-05	0.599	0.442	1
59	0.000392	0.294	0.865	0.136	0.786	1
60	0.435	0.622	0.471	0.328	0.253	1
61	0.257	0.559	0.000171	0.671	0.656	1
62	0.000145	0.54	0.753	0.87	0.945	1
63	0.273	0.793	0.0	0.887	0.7	1
64	0.374	0.549	3.5e-06	0.785	0.715	1
65	0.00266	0.557	0.771	0.259	0.607	1
66	0.000546	0.597	0.051	0.361	0.444	1
67	0.00781	0.879	1.45e-05	0.277	0.512	1
68	0.125	0.726	0.89	0.472	0.497	1
69	0.00158	0.857	0.0	0.251	0.831	1
70	0.0132	0.807	0.666	0.797	0.778	1
71	0.783	0.596	0.569	0.197	0.639	1
72	0.518	0.683	2.08e-05	0.967	0.708	1
73	0.0548	0.768	0.13	0.887	0.853	1
74	0.727	0.506	0.0	0.936	0.948	1
75	0.000313	0.457	0.000215	0.297	0.918	1
76	0.34	0.468	0.821	0.324	0.58	1
77	0.47	0.537	1.86e-05	0.549	0.447	1
78	0.855	0.515	0.463	0.194	0.217	1
79	0.00502	0.429	1.54e-05	0.174	0.725	1
80	0.555	0.791	0.00155	0.733	0.58	1
81	0.186	0.711	0.0	0.403	0.705	1
82	0.0249	0.683	0.627	0.921	0.824	1
83	0.0108	0.309	0.854	0.46	0.325	1
84	0.193	0.867	0.000219	0.761	0.733	1
85	0.0192	0.619	0.263	0.853	0.734	1
86	0.00776	0.898	0.292	0.868	0.5	1
87	0.17	0.589	0.000406	0.76	0.745	1
88	0.0221	0.606	1.65e-05	0.958	0.668	1
89	0.0397	0.786	0.272	0.68	0.547	1
90	0.0213	0.734	0.0	0.72	0.548	1
91	0.0454	0.812	0.0	0.399	0.676	1
92	0.00672	0.876	1.06e-05	0.249	0.606	1
93	0.00488	0.601	0.0365	0.566	0.873	1
94	0.00419	0.748	0.0	0.533	0.741	1
95	0.17	0.615	0.0	0.601	0.814	1
96	0.0604	0.799	0.0	0.833	0.789	1
97	0.0571	0.398	0.0172	0.689	0.776	1
98	0.716	0.685	0.518	0.649	0.423	1
99	0.0151	0.706	0.0	0.463	0.581	1
100	0.228	0.63	0.00661	0.805	0.98	1
101	0.017	0.57	5.74e-05	0.267	0.736	1
102	0.247	0.525	0.0	0.943	0.643	1
103	0.123	0.698	0.0	0.46	0.793	1
104	0.00705	0.763	0.032	0.347	0.773	1
105	0.181	0.511	0.0	0.814	0.769	1
106	0.378	0.506	0.0293	0.855	0.813	1
107	0.677	0.513	6.43e-05	0.521	0.494	1
108	0.488	0.251	7.34e-06	0.587	0.868	1
109	0.487	0.559	0.0	0.842	0.633	1
110	0.7	0.431	6.37e-06	0.632	0.678	1
111	0.403	0.683	0.0	0.93	0.71	1
112	0.656	0.78	0.0	0.967	0.599	1
113	0.00904	0.614	0.000131	0.354	0.907	1
114	0.141	0.661	0.0	0.657	0.531	1
115	0.119	0.564	0.0	0.489	0.594	1
116	0.0659	0.751	0.0	0.168	0.597	1
117	0.00257	0.896	0.000258	0.564	0.623	1
118	0.00256	0.618	0.0	0.601	0.717	1
119	0.0244	0.746	0.0	0.808	0.873	1
120	0.013	0.888	4.85e-06	0.221	0.483	1
121	0.0127	0.443	0.952	0.138	0.645	1
122	0.00943	0.507	0.0018	0.472	0.934	1
123	0.000758	0.695	0.000103	0.612	0.912	1
124	0.674	0.462	0.000632	0.748	0.449	1
125	0.0161	0.526	0.0	0.299	0.712	1
126	0.107	0.645	0.0266	0.886	0.924	1
127	0.0134	0.405	7.62e-05	0.204	0.647	1
128	0.0219	0.735	0.89	0.886	0.641	1
129	0.0452	0.746	7.77e-05	0.216	0.416	1
130	0.0551	0.547	0.0	0.187	0.643	1
131	0.0224	0.634	0.0	0.659	0.609	1
132	0.244	0.607	0.000177	0.16	0.488	1
133	0.0668	0.704	1.93e-06	0.694	0.647	1
134	7.19e-05	0.558	0.00746	0.492	0.642	1
135	0.0227	0.698	0.0599	0.786	0.804	1
136	0.103	0.772	6.61e-05	0.564	0.582	1
137	0.0956	0.788	0.0	0.678	0.864	1
